what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1447802225836
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802230566
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802338785
activated,editor,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.core.csssource.source",1447802338849
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1447802341703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802344677
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802383296
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802386783
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802393458
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1447802397258
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802399009
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802423069
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1447802425445
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1447802429208
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1447802429922
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.1.v20100712,"org.eclipse.jst.jsf.facelet.core",1447802437727
activated,editor,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.core.csssource.source",1447802438172
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1447802439794
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802440265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802445613
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1447802453329
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1447802454847
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802460184
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802514772
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802516439
